hr,lat,lon,mag,fingure_print
2507,-17.84,-68.84,6.62,1017.3224
2508,-4.93,-40.53,5.07,1338.5527
2509,-10.34,-51.36,6.08,1299.3728
2510,-17.18,-67.13,6.21,988.6748
2511,25.38,33.58,5.12,1498.1243
2512,13.89,-3.13,5.71,1562.2809
2513,-22.0,-81.57,6.57,925.0148
2514,-1.29,-33.75,5.75,949.80457
2515,-21.99,-81.81,5.8,1047.2947
2516,17.57,5.61,5.02,1673.8767
2517,-0.07,-31.77,6.15,1352.7463
2518,-17.02,-67.37,5.26,1009.08704
2519,6.96,-18.26,5.85,1563.1166
2520,23.32,23.46,5.33,1190.781
2521,-1.52,-34.71,5.74,954.15466
2522,-7.38,-46.21,5.39,1109.2831
2523,-21.52,-80.67,5.4,872.08685
2524,-22.5,-84.22,6.46,998.4511
2525,5.85,-20.84,5.65,1192.0359
2526,-22.65,-85.13,5.61,1002.31604
2527,26.86,42.45,4.55,1860.7004
2528,-11.07,-54.45,6.33,898.16943
2529,9.76,-13.38,5.27,1831.42
2530,-0.38,-33.34,5.77,1014.06396
2531,-26.43,-104.02,6.37,1589.9827
2532,19.04,8.47,6.26,886.664
2533,10.64,-11.74,5.65,1508.9001
2534,-3.82,-40.02,6.29,1292.8444
2535,-7.93,-48.12,5.79,1200.3838
2536,-25.98,-101.07,6.11,1148.3271
2537,-12.36,-57.51,7.04,971.9039
2538,-14.49,-62.36,3.96,906.3576
2539,16.91,2.6,6.12,1161.6067
2540,15.02,-2.1,3.6,1287.5914
2541,16.79,2.17,6.3,1000.2954
2542,15.77,-0.38,6.01,1448.7886
2543,1.44,-30.25,6.38,1386.0376
2544,-11.61,-56.11,6.33,1058.9636
2545,-14.07,-61.64,5.7,922.29376
2546,-19.21,-74.96,6.55,1292.367
2547,16.95,2.18,6.48,1040.335
2548,-19.6,-76.12,5.14,1217.0996
2549,-15.02,-64.21,4.99,1139.0143
2550,-24.1,-91.92,3.27,1391.5134
2551,4.12,-25.62,5.77,1010.53076
2552,-2.21,-37.77,6.3,1334.7241
2553,-20.86,-80.16,2.93,904.7937
2554,-21.76,-83.24,4.4,973.37244
2555,5.42,-23.33,6.24,1285.4303
2556,19.72,9.33,6.34,764.6034
2557,19.08,7.41,6.13,1012.5459
2558,-15.58,-66.06,5.96,1151.7332
2559,-27.21,-112.6,5.64,1754.0612
2560,23.6,22.23,4.35,1108.5966
2561,23.38,21.32,6.05,1243.2949
2562,-23.49,-90.18,6.11,1154.3546
2563,-19.89,-77.9,6.42,1271.8499
2564,6.67,-21.51,4.65,1312.721
2565,-8.15,-50.2,5.64,829.7344
2566,-8.1,-50.11,6.14,894.6997
2567,-11.61,-57.43,6.4,930.0502
2568,20.07,9.7,5.87,838.7551
2569,12.06,-10.42,5.73,1257.8608
2570,-2.07,-38.45,6.41,1244.9539
2571,-8.62,-51.3,4.83,665.10095
2572,0.15,-34.27,5.45,1065.6294
2573,20.28,10.11,5.86,894.1804
2574,-4.85,-43.98,4.07,1798.2772
2575,-17.73,-72.22,6.52,1027.1852
2576,-12.16,-58.95,6.04,937.5599
2577,-0.08,-34.87,6.21,992.1152
2578,-10.4,-55.29,6.21,664.2002
2579,-18.23,-73.67,6.46,1146.032
2580,-10.21,-54.98,3.87,694.92834
2581,26.31,35.58,5.68,1235.7278
2582,-0.49,-35.83,6.04,1091.2032
2583,-10.08,-54.76,6.91,727.2518
2584,4.7,-25.98,6.29,989.8353
2585,19.87,8.45,4.9,945.051
2586,15.72,-2.72,5.89,1262.0892
2587,-21.48,-83.86,6.57,1077.3975
2588,-8.39,-51.62,5.74,680.7453
2589,5.62,-24.61,5.92,1199.7223
2590,-8.15,-51.44,4.68,795.3839
2591,-17.38,-72.21,6.32,1009.9412
2592,-22.93,-89.31,6.41,1265.6296
2593,-5.34,-45.99,5.0,1611.0398
2594,-20.24,-80.38,6.26,1105.9237
2595,-9.33,-54.01,5.3,854.44385
2596,-6.68,-48.7,4.37,1440.873
2597,6.71,-22.96,6.27,1173.75
2598,-13.03,-62.21,6.36,1202.7849
2599,-2.49,-40.85,6.34,1214.1788
2600,17.72,1.36,6.0,1201.7397
2601,13.07,-10.09,6.1,1195.7137
2602,-25.53,-101.74,5.4,1066.3738
2603,-8.71,-53.48,6.61,824.30786
