HR,Name,DM,HD,SAO,FK5,IFflag,r_IFflag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs19000,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
1,,BD+44 4550,3,36042,,,,,46,,,00,00,01.1,+,44,40,22,00,05,09.9,+,45,13,45,114.44,-16.88,6.70,,,+0.07,,+0.08,,,,A1Vn,,-0.012,-0.018,,,-018,,,195,,4.2,21.6,AC,3,
2,,BD-01 4525,6,128569,,,,,,,,23,59,56.2,-,01,03,30,00,05,03.8,-,00,30,11,98.33,-61.14,6.29,,,+1.10,,+1.02,,,,gG9,,+0.045,-0.060,,,+014,V,,,,,,,,
3,33    Psc,BD-06 6357,28,128572,1002,I,,,,,Var?,00,00,13.0,-,06,16,01,00,05,20.1,-,05,42,27,93.75,-65.93,4.61,,,+1.04,,+0.89,,+0.54,,K0IIIbCN-0.5,,-0.009,+0.089,,+.014,-006,SB1O,<,17,,2.5,0.0,,3,*
4,86    Peg,BD+12 5063,87,91701,2004,,,,,,,00,00,33.8,+,12,50,23,00,05,42.0,+,13,23,46,106.19,-47.98,5.51,,,+0.90,,,,,,G5III,,+0.045,-0.012,,,-002,V?,,,,,,,,
5,,BD+57 2865,123,21085,,,,,61,,V640 Cas,00,01,01.8,+,57,52,45,00,06,16.0,+,58,26,12,117.03,-03.92,5.96,,,+0.67,,+0.20,,,,G5V,,+0.263,+0.030,,+.047,-012,V,,,,0.8,1.4,,,*
6,,CD-4914337,142,214963,,,,W,,,,00,01,08.4,-,49,37,51,00,06,19.0,-,49,04,30,321.61,-66.38,5.70,,,+0.52,,+0.05,,,,G1IV,,+0.565,-0.038,,+.050,+003,SB,,,,5.7,5.4,,,*
7,10    Cas,BD+63 2107,144,10978,2005,,,,,,,00,01,14.4,+,63,38,22,00,06,26.5,+,64,11,46,118.06,1.75,5.59,,,-0.03,,-0.19,,,,B9III,e,+0.008,0.000,,,-000,V,,153,,,,,,*
8,,BD+28 4704,166,73743,,,,,69,,33,00,01,25.2,+,28,28,11,00,06,36.8,+,29,01,17,111.26,-32.83,6.13,,,+0.75,,+0.33,,,,K0V,,+0.380,-0.182,,+.067,-008,V,,,,2.6,158.6,AB,4,*
9,,CD-23    4,203,166053,1003,,,,,,,00,01,43.0,-,23,39,47,00,06,50.1,-,23,06,27,52.21,-79.14,6.18,,,+0.38,,+0.05,,,,A7V,,+0.100,-0.045,,,+003,V,,,,,,,,
10,,BD-18 6428,256,147090,,,,,,,,00,02,11.8,-,17,56,39,00,07,18.2,-,17,23,11,74.36,-75.90,6.19,,,+0.14,,+0.10,,,,A6Vn,,-0.018,+0.036,,,-009,V?,,195,,,,,,*
11,,BD-03    2,315,128595,,,,,,,Var?,00,02,36.7,-,03,06,20,00,07,44.1,-,02,32,56,98.02,-63.29,6.43,,,-0.14,,-0.47,,,,B8IIIpSi,,+0.027,-0.002,,,+013,,,,,,,,,*
12,,CD-23   13,319,166066,,,,,89,,46,00,02,40.3,-,23,03,52,00,07,46.8,-,22,30,32,55.56,-79.07,5.94,,,+0.14,,+0.06,,,,A2Vp:,,+0.052,-0.044,,,-013,V,,,,5.1,1.9,,,*
13,,CD-34   17,344,192367,,,,,,,,00,02,58.6,-,34,05,10,00,08,03.5,-,33,31,46,355.91,-78.67,5.68,,,+1.12,,,,,,K1III,,-0.037,0.000,,,+007,,,,,,,,,
14,,BD-03    3,352,128602,2006,I,,,,,AP Psc,00,03,04.8,-,03,00,15,00,08,12.1,-,02,26,52,98.34,-63.24,6.07,,,+1.38,,+1.14,,,,K2III+F,,+0.009,-0.003,,,+001,SB1O,,22,,2.0,0.0,,,*
15,21Alp And,BD+28    4,358,73765,1,I,,,94,,Alp And,00,03,13.0,+,28,32,18,00,08,23.3,+,29,05,26,111.73,-32.84,2.06,,,-0.11,,-0.46,,-0.10,,B8IVpMnHg,v,+0.136,-0.163,,+.032,-012,SBO,,56,,8.5,81.5,,,*
16,,BD-09    5,360,128604,,,,,,,,00,03,10.9,-,09,22,47,00,08,17.4,-,08,49,26,91.79,-69.04,5.99,,,+1.04,,+0.83,,,,gG8,,-0.052,-0.033,,,+020,,,,,,,,,
17,,BD+35    8,400,53677,,,,,,,,00,03,31.9,+,36,04,26,00,08,41.0,+,36,37,36,113.45,-25.45,6.19,,,+0.48,,-0.09,,,,F8IV,,-0.100,-0.145,,+.044,-014,,=<,6,,,,,,
18,,BD-18    3,402,147103,,I,,,,,51,00,03,27.1,-,18,08,01,00,08,33.4,-,17,34,39,74.69,-76.25,6.06,,,+1.67,,+1.97,,,,M0III,,0.000,-0.025,,,-017,V?,,,,,,,,*
19,,BD+24    3,417,73769,,,,,,,,00,03,42.2,+,24,54,19,00,08,52.2,+,25,27,46,110.97,-36.42,6.23,,,+0.97,,+0.73,,,,K0III,,+0.114,+0.031,,,+015,,,,,,,,,
20,,BD+78    1,431,4048,,,,,102,,,00,03,48.5,+,79,09,33,00,09,20.2,+,79,42,53,120.98,17.00,6.01,,,+0.19,,+0.10,,,,A7IV,,+0.102,-0.027,,+.002,+001,,,90,,0.2,0.6,,,*
21,11Bet Cas,BD+58    3,432,21133,2,I,,,107,,Bet Cas,00,03,50.2,+,58,35,54,00,09,10.7,+,59,08,59,117.52,-03.27,2.27,,,+0.34,,+0.11,,+0.20,,F2III-IV,,+0.525,-0.181,,+.072,+012,SB,,70,,11.3,31.3,,,*
22,87    Peg,BD+17    7,448,91734,,,,,,,,00,03,52.8,+,17,39,22,00,09,02.4,+,18,12,43,108.99,-43.51,5.53,,,+1.04,,,,,,G9III,,+0.137,-0.024,,,-023,V?,,,,,,,,
23,,CP-54   19,469,231943,,,,W,,,,00,03,59.7,-,54,33,33,00,09,02.4,-,54,00,07,316.25,-62.02,6.33,,,+0.74,,+0.39,,,,G4IV,,+0.051,+0.016,D,+.009,+001,SB,,,,1.3,0.2,,,*
24,Kap1Scl,CD-28   16,493,166083,,,,,111,,,00,04,15.2,-,28,32,40,00,09,21.0,-,27,59,16,25.24,-80.63,5.42,,,+0.42,,+0.08,,,,F2V,,+0.072,-0.004,,+.023,+009,,,131,,0.2,1.4,AB,3,*
25,Eps Phe,CD-46   18,496,214983,3,,,,,,,00,04,20.2,-,46,17,57,00,09,24.7,-,45,44,51,324.34,-69.60,3.88,,,+1.03,,+0.84,,+0.52,,K0III,,+0.124,-0.181,,+.066,-009,,,,,,,,,
26,34    Psc,BD+10    8,560,91750,,,,,122,,,00,04,53.8,+,10,35,21,00,10,02.3,+,11,08,44,106.87,-50.43,5.51,,,-0.07,,-0.24,,,,B9Vn,e,+0.041,-0.003,D,+.017,+014,V,,275,,4.4,7.7,,,*
27,22    And,BD+45   17,571,36123,4,,,,,,,00,05,07.2,+,45,30,57,00,10,19.3,+,46,04,20,115.52,-16.21,5.03,,,+0.40,,+0.25,,+0.29,,F2II,,+0.008,0.000,,-.002,-005,,,47,,,,,,*
28,,BD+56   11,584,21162,,,,,,,,00,05,15.0,+,56,36,32,00,10,29.7,+,57,09,56,117.38,-05.26,6.74,,,-0.08,,-0.41,,,,B7IV,,+0.023,+0.006,,,+002,,,,,,,,,
29,,BD-06   11,587,128621,,,,D,,,,00,05,11.6,-,05,48,15,00,10,18.8,-,05,14,55,96.99,-66.03,5.84,,,+0.98,,+0.74,,,,K1III,,+0.036,-0.033,,,+024,,,,,,,,,*
30,Gam3Oct,CP-82    4,636,258215,3971,,,,,,,00,05,30.4,-,82,46,48,00,10,02.1,-,82,13,26,304.63,-34.77,5.28,,,+1.05,,+0.92,,,,G8III,,-0.029,-0.020,,,+015,,,,,,,,,
31,,BD-13   13,645,147127,2008,,,,,,,00,05,35.5,-,13,08,07,00,10,42.8,-,12,34,48,87.69,-72.60,5.85,,,+1.01,,+0.80,,,,K0IV,,+0.150,-0.038,,,+006,V?,,,,,,,,
32,,CP-73    4,661,255642,,,,W,,,,00,05,44.4,-,73,46,53,00,10,38.6,-,73,13,28,306.98,-43.58,6.64,,,+0.37,,+0.06,,,,F2V+F6V,,+0.123,+0.016,,,-014,,,,,1.1,0.5,AB,3,*
33,6    Cet,BD-16   17,693,147133,,,,,,,,00,06,10.5,-,16,01,01,00,11,15.9,-,15,28,05,82.24,-75.06,4.89,,,+0.49,,-0.03,,,,F7V,,-0.077,-0.268,,+.067,+014,V?,,0,,,,,,
34,Kap2Scl,CD-28   26,720,166103,5,I,,W,,,,00,06,29.8,-,28,21,24,00,11,34.4,-,27,47,59,26.30,-81.13,5.41,,,+1.34,,+1.46,,,,K5III,,+0.010,+0.016,,,-006,,,,,13.8,46.0,,,
35,The Scl,CD-35   42,739,192388,6,,,,,,,00,06,39.0,-,35,41,34,00,11,44.0,-,35,07,59,347.16,-78.34,5.25,,,+0.44,,,,,,F4V,,+0.173,+0.119,,+.034,-002,,,0,,,,,,
36,,BD+47   21,743,36148,,I,,,,,,00,06,45.1,+,47,35,45,00,11,59.1,+,48,09,09,116.16,-14.20,6.16,,,+1.45,,,,,,gK4,,+0.058,+0.017,,,+016,,,,,,,,,
37,,BD-18   14,787,147144,,I,,,,,,00,07,04.0,-,18,29,38,00,12,10.0,-,17,56,18,76.32,-77.10,5.25,,,+1.48,,+1.63,,,,K5III,,+0.056,-0.031,,-.015,-008,V,<,19,:,,,,,
38,,BD+36   12,829,53725,,,,,,,,00,07,38.2,+,37,08,15,00,12,50.4,+,37,41,36,114.55,-24.55,6.73,,,-0.13,,-0.70,,,,B2V,,+0.028,-0.012,,,-010,,,,,,,,,*
39,88Gam Peg,BD+14   14,886,91781,7,I,',W,,,Gam Peg,00,08,05.1,+,14,37,40,00,13,14.2,+,15,11,01,109.43,-46.68,2.83,,,-0.23,,-0.87,,-0.19,,B2IV,,+0.003,-0.012,,-.002,+004,SBO,,3,,8.9,163.4,AB,3,*
40,,BD+26   13,895,73823,,,,,161,,,00,08,13.4,+,26,25,56,00,13,24.0,+,26,59,14,112.56,-35.12,6.30,,,+0.65,,+0.33,,,,G0III,,-0.008,-0.047,D,+.006,-013,,,,,1.1,0.1,AB,3,*
41,23    And,BD+40   29,905,36173,2010,,,,,,,00,08,19.0,+,40,29,00,00,13,30.8,+,41,02,07,115.27,-21.27,5.72,,,+0.31,,-0.02,,,,F0IV,,-0.123,-0.148,,+.024,-029,,,25,,,,,,
42,,CD-26   56,942,166130,,I,,,,,96,00,08,37.8,-,26,34,35,00,13,42.1,-,26,01,19,38.28,-81.49,5.94,,,+1.55,,,,,,K5III,,+0.026,-0.069,,,-030,V,,,,,,,,
43,,CD-26   57,943,166131,,I,,,,,,00,08,40.2,-,26,50,29,00,13,44.2,-,26,17,05,36.52,-81.54,6.31,,,+1.48,,+1.65,,,,K5III,,-0.020,+0.012,,,+018,V,,,,,,,,
44,,BD+32   21,952,53744,2012,,,,,,,00,08,50.6,+,32,39,01,00,14,02.3,+,33,12,22,113.99,-29.02,6.25,,,-0.01,,-0.05,,,,A1V,,-0.006,-0.018,,,+001,,,56,,,,,,
45,89Chi Peg,BD+19   27,1013,91792,1004,I,,,,,99,00,09,25.6,+,19,39,02,00,14,36.2,+,20,12,24,111.30,-41.83,4.80,,,+1.57,,+1.93,,+1.13,,M2+III,e,+0.093,0.000,,+.015,-046,V,,,,,,,,*
46,,BD-08   26,1014,128655,,I,,,180,,AD Cet,00,09,20.8,-,08,20,13,00,14,27.6,-,07,46,50,96.87,-68.76,5.12,,,+1.62,,+1.81,,+1.03,E,M3+III,,+0.059,+0.004,,+.003,-002,V?,,,,6.0,3.0,,,*
47,,CP-85    2,1032,258217,3972,,,,,,,00,09,32.1,-,85,33,02,00,13,19.4,-,84,59,39,303.91,-32.06,5.77,,,+1.72,,+2.10,,,,M0-1III,,+0.004,+0.008,,,+004,,,,,,,,,
48,7    Cet,BD-19   21,1038,147169,,I,,,,,AE Cet,00,09,33.7,-,19,29,13,00,14,38.4,-,18,55,58,75.11,-78.23,4.44,,,+1.66,,+1.99,,+1.14,,M3III,e,-0.024,-0.067,,+.029,-023,,,,,,,,,*
49,,BD+21   13,1048,73838,,,,,,,,00,09,45.3,+,21,43,43,00,14,56.1,+,22,17,03,111.92,-39.81,6.24,,,-0.01,,+0.12,,,,A1pSi,,+0.065,-0.011,,,-015,,,,,,,,,*
50,35    Psc,BD+08   19,1061,109087,,,,,191,,UU Psc,00,09,49.7,+,08,15,56,00,14,58.8,+,08,49,15,107.86,-52.98,5.79,,,+0.31,,+0.04,,,,F0IV,,+0.097,-0.028,D,+.017,+001,SB2O,,86,,0.0,0.0,A,3,*
51,,BD-10   30,1064,128660,,,,,,,,00,09,48.2,-,10,07,31,00,14,54.5,-,09,34,11,95.06,-70.44,5.75,,,-0.08,,,,,,B9V,,+0.028,-0.011,,,+017,V?,,,,,,,,
52,,BD+30   26,1075,53755,,I,,,,,,00,09,54.9,+,30,58,48,00,15,07.0,+,31,32,09,113.93,-30.70,6.45,R,,,,,,,,K5,,+0.035,-0.005,,,+002,,,,,,,,,
53,,BD+26   23,1083,73842,,,,W,,,,00,09,59.3,+,26,43,40,00,15,10.6,+,27,16,59,113.10,-34.90,6.35,,,-0.02,,+0.02,,,,A1Vn,,+0.021,-0.031,,,-004,SB,,230,,6.8,29.2,,,*
54,,CD-35   65,1089,192418,,,,,,,,00,09,55.3,-,35,27,36,00,14,58.2,-,34,54,16,345.80,-78.99,6.17,,,+1.34,,,,,,K3III,,+0.073,-0.023,,,-052,,,,,,,,,
55,,BD+76    5,1141,4071,,,,,207,,,00,10,33.1,+,76,23,42,00,16,14.0,+,76,57,03,120.89,14.22,6.35,,,-0.07,,-0.26,,,,B8Vnn,,+0.018,-0.002,D,+.013,-007,V,,,,0.3,0.8,,,*
56,,BD+42   41,1185,36221,,,,,215,,,00,11,06.2,+,43,02,24,00,16,21.6,+,43,35,41,116.23,-18.82,6.15,,,+0.05,,+0.03,,,,A2VpSi,,+0.043,-0.030,,,+002,,,100,,3.9,9.2,,,*
57,,CD-32   72,1187,192430,2014,I,,W,,,,00,11,05.4,-,32,00,06,00,16,08.9,-,31,26,47,1.53,-81.18,5.67,,,+1.35,,+1.50,,,,K5III,,+0.122,-0.030,,,+026,,,,,9.9,64.0,,,*
58,,CP-76   19,1221,255650,,,,,,,,00,11,20.4,-,76,28,03,00,15,55.2,-,75,54,41,305.79,-41.02,6.49,,,+1.00,,+0.72,,,,G8-K0III,,-0.013,+0.006,,,+016,,,,,,,,,
59,36    Psc,BD+07   27,1227,109100,2015,,,,,,,00,11,25.7,+,07,41,05,00,16,34.1,+,08,14,24,108.28,-53.64,6.11,,,+0.92,,+0.66,,,,G8II-III,,-0.020,-0.019,,,+001,,,,,,,,,
60,,BD+60   21,1239,11084,,,,,222,,,00,11,34.6,+,60,58,39,00,16,57.1,+,61,32,00,118.83,-01.06,5.74,,,+0.88,,+0.59,,,,G8III,,-0.001,-0.001,,,-004,,,,,6.4,19.4,,,*
61,,BD-21   24,1256,166167,,,,,,,113,00,11,38.1,-,20,45,57,00,16,42.5,-,20,12,38,72.13,-79.47,6.47,,,-0.09,,-0.48,,,,B8III,,+0.012,-0.014,,,+019,V,,,,,,,,*
62,,BD+47   50,1279,36236,2016,,,,,,,00,11,52.3,+,47,23,31,00,17,09.1,+,47,56,51,117.01,-14.53,5.89,,,-0.09,,-0.44,,,,B7III,,+0.008,0.000,,,-009,V?,,0,,,,,,
63,24The And,BD+37   34,1280,53777,,,,,,,116,00,11,51.9,+,38,07,35,00,17,05.5,+,38,40,54,115.62,-23.70,4.61,,,+0.06,,+0.04,,+0.01,,A2V,,-0.050,-0.019,,+.022,+001,V,,107,,,,,,*
64,,CP-79    7,1324,255652,,,,,,,,00,12,22.8,-,79,20,07,00,16,49.0,-,78,46,50,305.07,-38.20,6.77,,,+0.46,,+0.08,,,,F3III,,+0.077,-0.043,,,-013,,,,,,,,,
65,,BD+50   46,1337,21273,,I,,,,,AO Cas,00,12,24.8,+,50,52,39,00,17,43.0,+,51,25,59,117.59,-11.09,6.14,,,-0.13,,-0.97,,,,O9IIInn,,-0.005,-0.004,,,-035,SB2O,,135,,,,,,*
66,,BD-19   30,1343,147205,,,,,,,,00,12,28.2,-,19,36,24,00,17,32.6,-,19,03,04,77.21,-78.78,6.45,,,+0.37,,,,,,F4IV-V,,+0.015,+0.003,,,-005,,,,,,,,,
67,,BD+00   28,1367,109119,2017,,,,,,,00,12,39.5,+,01,07,58,00,17,47.7,+,01,41,20,105.89,-60.07,6.17,,,+0.94,,+0.73,,,,K0II,,+0.095,+0.012,,,-009,,,,,,,,,
68,25Sig And,BD+35   44,1404,53798,1005,,,,,,118,00,13,06.0,+,36,13,51,00,18,19.7,+,36,47,07,115.59,-25.61,4.52,,,+0.05,,+0.07,,0.00,,A2V,,-0.063,-0.041,,+.023,-008,SB,,103,,,,,,*
69,,BD+10   25,1419,91832,,,,,,,,00,13,08.3,+,10,39,05,00,18,17.2,+,11,12,21,110.00,-50.83,6.05,,,+1.03,,,,,,K0III,,-0.036,-0.038,,,+009,,,,,,,,,
70,26    And,BD+42   48,1438,36256,,,,,254,,119,00,13,25.7,+,43,14,09,00,18,42.1,+,43,47,28,116.70,-18.68,6.11,,,-0.08,,-0.35,,,,B8V,,+0.020,-0.003,,,+007,,,,,4.1,6.2,,,*
71,,BD+30   35,1439,53803,1006,,,,,,,00,13,24.7,+,30,57,43,00,18,38.3,+,31,31,02,114.79,-30.84,5.87,,,-0.01,,0.00,,,,A0IV,,+0.058,-0.006,,,-005,,,53,,,,,,
72,,BD-08   38,1461,128690,,,,,,,,00,13,33.0,-,08,36,16,00,18,41.8,-,08,03,10,99.29,-69.40,6.46,,,+0.68,,+0.29,,,,G0V,,+0.413,-0.139,,+.053,-010,V?,,,,,,,,*
73,,CD-43   64,1483,215047,,,,,,,,00,13,43.7,-,43,47,28,00,18,42.6,-,43,14,07,323.20,-72.58,6.33,,,+1.21,,,,,,K2III,,+0.056,+0.012,,,+012,,,,,,,,,
74,8Iot Cet,BD-09   48,1522,128694,9,I,,W,,,123,00,14,19.9,-,09,22,42,00,19,25.7,-,08,49,26,98.98,-70.19,3.56,,,+1.22,,+1.25,,+0.59,,K1.5III,,-0.014,-0.036,,+.013,+019,,<,17,,4.8,108.8,AC,3,*
75,,BD+39   56,1527,36269,,,,,,,,00,14,25.9,+,40,10,29,00,19,41.6,+,40,43,47,116.46,-21.74,6.33,,,+1.18,,,,,,K1III,,-0.026,-0.010,,,-038,,,,,,,,,
76,,BD+48   79,1561,36272,,,,,,,,00,14,46.3,+,48,18,38,00,20,05.2,+,48,51,55,117.63,-13.68,6.52,,,,,,,,,A0V s,,+0.005,-0.017,,,-003,V,,57,,,,,,
77,Zet Tuc,CP-65   13,1581,248163,10,I,',,,,,00,14,51.7,-,65,27,45,00,20,04.3,-,64,52,29,308.35,-51.90,4.23,,,+0.58,,+0.02,,+0.33,,F9V,,+1.705,+1.164,,+.134,+009,,,0,,,,,,
78,,BD+30   42,1606,53820,,,,,,,128,00,15,10.7,+,30,22,50,00,20,24.4,+,30,56,09,115.13,-31.47,5.90,,,-0.10,,-0.46,,,,B7V,,+0.021,+0.004,,,+004,,,125,,,,,,
79,,BD+32   45,1632,53825,,I,,,,,,00,15,31.6,+,32,21,24,00,20,45.5,+,32,54,41,115.53,-29.52,5.79,,,+1.59,,,,+1.00,,K5III,,-0.026,-0.014,,,-036,,,,,,,,,
80,41    Psc,BD+07   36,1635,109152,1008,I,,,,,132,00,15,27.0,+,07,38,06,00,20,35.9,+,08,11,25,109.91,-53.90,5.37,,,+1.34,,+1.55,,,,gK3,,-0.002,+0.008,,,+016,,,,,,,,,
81,,BD+10   32,1663,91858,,,,,287,,,00,15,45.4,+,10,25,22,00,20,54.5,+,10,58,37,110.93,-51.18,6.56,,,,,,,,,A0V,,-0.046,-0.028,D,+.005,-018,V,,56,,0.2,0.6,,,*
82,27Rho And,BD+37   45,1671,53828,1009,,,,,,,00,15,51.1,+,37,24,53,00,21,07.3,+,37,58,07,116.37,-24.52,5.18,,,+0.42,,+0.05,,,,F5III,,+0.060,-0.040,,+.017,+009,,,41,,,,,,
83,Pi  Tuc,CP-70   12,1685,248167,2018,,,,,,,00,16,00.9,-,70,10,48,00,20,39.0,-,69,37,30,306.87,-47.27,5.51,,,-0.05,,-0.14,,,,B9V,,-0.007,0.000,,+.011,+012,,,,,,,,,
84,Iot Scl,CD-29   86,1737,166207,,,,,,,,00,16,29.7,-,29,32,04,00,21,31.2,-,28,58,54,15.52,-83.15,5.18,,,+1.00,,+0.82,,,,G5III,,+0.040,-0.074,,+.027,+021,,,,,,,,,
85,,BD-20   50,1760,166210,,I,,,,,T Cet,00,16,42.6,-,20,36,45,00,21,46.3,-,20,03,28,77.51,-80.20,5.12,,,+1.82,,+1.78,,,,M5IIe,,+0.071,-0.005,,,+029,V,,,,,,,,*
86,42    Psc,BD+12   25,1796,91866,2020,,,,303,,,00,17,14.9,+,12,55,38,00,22,25.5,+,13,28,57,112.19,-48.78,6.23,,,+1.22,,,,,,K3III,,+0.062,+0.021,,,+003,V,,,,4.6,28.9,,,*
87,,CP-78    9,1801,255663,,,,,,,,00,17,12.7,-,77,58,54,00,21,28.6,-,77,25,37,305.04,-39.58,5.97,,,+1.40,,+1.40,,,,K3III,,+0.002,-0.010,,,+021,V,,,,,,,,
88,9    Cet,BD-13   60,1835,147237,,I,',W,,,BE Cet,00,17,44.3,-,12,45,57,00,22,51.8,-,12,12,34,97.34,-73.64,6.39,,,+0.66,,+0.24,,,,G2V,,+0.394,+0.061,,+.049,-007,V,,6,,5.4,202.1,,,*
89,,CD-31  138,1909,192495,,,,,,,,00,18,12.3,-,31,35,26,00,23,12.6,-,31,02,10,358.89,-82.70,6.55,,,0.00,,-0.31,,,,B9IVMn,,+0.029,-0.003,,,+001,SB1,,25,,,,,,*
90,,BD+37   58,1967,53860,,I,:,W,,,R And,00,18,44.8,+,38,01,25,00,24,02.0,+,38,34,38,117.07,-23.98,7.39,,,+1.97,,+1.25,,+2.21,,S6.5IIIeZr6Ti2,,-0.007,-0.023,,,-011,V,,,,4.9,84.6,,,*
91,,BD+51   62,1976,21366,,,,,328,,155,00,18,52.2,+,51,27,57,00,24,15.6,+,52,01,12,118.68,-10.63,5.57,,,-0.12,,-0.60,,,,B5IV,,+0.013,-0.004,D,+.004,-007,SBO,,230,,2.5,0.2,,,*
92,NOVA 1572,,,,,,,,,,B Cas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
93,12    Cas,BD+61   69,2011,11172,,,,,,,,00,19,16.2,+,61,16,37,00,24,47.5,+,61,49,52,119.79,-00.88,5.40,,,0.00,,-0.16,,,,B9III,,+0.012,-0.001,,+.015,-004,V,,154,,,,,,
94,,BD-03   49,2023,128743,2021,,,,,,,00,19,23.0,-,02,46,20,00,24,29.7,-,02,13,09,107.27,-64.27,6.07,,,+1.22,,+1.23,,,,K1III,,-0.033,-0.044,,,+015,,,,,,,,,
95,47    Tuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
96,,BD+52   61,2054,21381,2022,,,,,,159,00,19,41.6,+,52,29,34,00,25,06.4,+,53,02,49,118.92,-09.62,5.74,,,-0.06,,-0.31,,,,B9IV,,+0.023,-0.002,,,+010,V,,210,,,,,,*
97,44    Psc,BD+01   57,2114,109192,1010,,,W,,,,00,20,16.5,+,01,23,10,00,25,24.2,+,01,56,23,109.73,-60.26,5.77,,,+0.86,,+0.57,,,,G5III,,-0.013,-0.015,,,-004,,<,20,,,,,,*
98,Bet Hyi,CP-77   16,2151,255670,11,I,',,,,161,00,20,30.0,-,77,49,03,00,25,45.1,-,77,15,15,304.81,-39.77,2.80,,,+0.62,,+0.11,,+0.34,,G2IV,,+2.215,+0.324,,+.153,+023,,,,,,,,,*
99,Alp Phe,CD-42  116,2261,215093,12,I,,A,,,,00,21,20.5,-,42,50,56,00,26,17.0,-,42,18,22,320.02,-73.98,2.39,,,+1.09,,+0.88,,+0.60,,K0III,,+0.203,-0.396,,+.035,+075,SB1O,,,,,0.1,,,*
100,Kap Phe,CD-44  101,2262,215092,,,,,,,,00,21,17.1,-,44,14,05,00,26,12.2,-,43,40,48,318.42,-72.68,3.94,,,+0.17,,+0.11,,+0.08,,A7V,,+0.109,+0.029,,+.072,+011,,,219,,,,,,
101,10    Cet,BD-00   63,2273,128760,,,,,,,Var?,00,21,29.6,-,00,36,12,00,26,37.4,-,00,02,59,109.50,-62.27,6.19,,,+0.90,,+0.55,,,,G8III,,+0.073,-0.001,,,-023,V,,,,,,,,*
102,,CD-26  138,2363,166282,2025,,,,,,,00,22,14.0,-,26,06,01,00,27,14.7,-,25,32,50,47.84,-84.35,5.98,,,+1.03,,+0.88,,,,G8III,,+0.036,-0.019,,,-003,,,,,,,,,
103,47    Psc,BD+17   55,2411,91910,,I,,,,,TV Psc,00,22,50.0,+,17,20,21,00,28,02.9,+,17,53,35,115.10,-44.62,5.06,,,+1.65,,+1.82,,+1.54,,M3III,v,+0.117,+0.021,,+.016,+006,V,,,,,,,,*
104,,BD+43   92,2421,36390,2027,,,,,,,00,22,51.1,+,43,50,29,00,28,13.7,+,44,23,40,118.57,-18.28,5.17,,,+0.03,,-0.01,,,,A2V s,,+0.089,-0.016,,+.013,+002,SB1O,,36,,,,,,*
105,Eta Scl,CD-33  152,2429,192545,2026,,,,,,Eta Scl,00,22,58.2,-,33,33,33,00,27,55.7,-,33,00,26,342.36,-82.23,4.81,,,+1.64,,+1.81,,+1.38,,M4III,,-0.019,-0.052,,-.014,+011,,,,,,,,,*
106,48    Psc,BD+15   63,2436,91912,1012,I,,,,,,00,23,00.9,+,15,53,32,00,28,12.7,+,16,26,42,114.89,-46.06,6.06,,,+1.58,,+2.00,,,,K5III,,+0.019,-0.015,,,-007,SB,,,,,,,,
107,,BD+09   47,2454,109224,2028,,,,,,,00,23,09.8,+,09,38,32,00,28,20.1,+,10,11,23,113.62,-52.26,6.04,,,+0.43,,-0.06,,,,F6Va vw,,+0.046,-0.207,,+.033,-010,V,,8,,,,,,*
108,,BD-21   57,2475,166296,2029,,,W,,,,00,23,20.2,-,20,53,07,00,28,21.1,-,20,20,06,83.87,-81.40,6.43,,,+0.59,,-0.03,,,,G0V,,-0.116,-0.114,D,+.034,+006,V,,,,0.1,0.2,,,*
109,,CD-40   93,2490,215103,,I,,,,,,00,23,30.7,-,40,28,02,00,28,26.4,-,39,54,54,321.94,-76.35,5.43,,,+1.56,,+1.90,,,,M0III,,+0.130,-0.036,,+.015,+032,,,,,,,,,*
110,,BD+36   66,2507,53928,,,,,,,,00,23,37.9,+,36,20,48,00,28,56.6,+,36,54,00,117.94,-25.75,6.26,,,+0.92,,,,,,G5III,,-0.011,+0.003,,,+010,,,,,,,,,
111,,CD-51  113,2529,232055,,,,,,,,00,23,52.8,-,51,05,09,00,28,43.1,-,50,31,58,311.91,-66.20,6.26,,,+1.09,,,,,,K0III,,+0.150,-0.002,,,+006,,,,,,,,,
112,,BD+76   10,2589,4130,2031,,,,,,,00,24,29.4,+,76,28,04,00,30,55.0,+,77,01,10,121.74,14.20,6.21,,,+0.84,,+0.54,,,,K0IV,,+0.337,-0.038,,+.023,+019,,,,,,,,,*
