HR,Name,DM,HD,SAO,FK5,IFflag,r_IFflag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs19000,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
6727,,BD-22 4516,164637,186169,,,,,,,,17,56,58.3,-,22,43,07,18,03,01.7,-,22,43,06,7.34,-00.23,6.74,,,-0.05,,-0.87,,,,B0.5III,,+0.003,+0.007,,,-007,SB,,50,,,,,,*
6728,,BD+45 2638,164646,47121,3433,I,,,,,9980,17,57,04.8,+,45,30,21,17,59,56.2,+,45,30,05,72.45,27.66,5.67,,,+1.57,,+1.91,,,,M0IIIab,,+0.008,-0.025,,+.026,-010,V?,,,,,,,,
6729,95    Her,BD+21 3280,164668,85647,,I,,,10993,B,10014,17,57,15.3,+,21,35,45,18,01,29.9,+,21,35,43,47.50,20.29,5.18,,,+0.95,,+0.57,,,,G8III,,+0.011,+0.032,,+.000,-031,V?,=<,25,,0.1,6.3,,,*
6730,95    Her,BD+21 3280,164669,85648,,,,,10993,A,10014,17,57,15.8,+,21,35,46,18,01,30.4,+,21,35,44,47.50,20.29,4.96,,,+0.12,,+0.13,,,,A5IIIn,,+0.012,+0.035,,+.000,-030,V?,,180,,0.1,6.3,,,*
6731,,CP-75 1410,164712,257569,678,,,W,,,,17,57,16.2,-,75,53,37,18,11,15.7,-,75,53,29,318.15,-23.85,5.86,,,+1.24,,+1.43,,,,K2III,,+0.010,-0.295,,+.016,+015,,,,,7.3,25.9,,,
6732,,BD-05 4560,164716,142045,,,,,,,,17,57,26.3,-,05,21,29,18,02,46.3,-,05,21,31,22.52,8.29,6.76,,,+0.16,,-0.10,,,,B9V,,+0.011,-0.035,,,-014,,,,,,,,,
6733,69Tau Oph,BD-08 4549,164764,142050,,,,,11005,B,10073,17,57,38.1,-,08,10,49,18,03,05.0,-,08,10,49,20.06,6.87,5.94,,,,,,,,,F5V,,+0.029,-0.037,,+.058,-038,,,,,0.7,1.9,AB,3,*
6734,69Tau Oph,BD-08 4549,164765,142050,,,,,11005,A,10073,17,57,38.1,-,08,10,49,18,03,04.9,-,08,10,50,20.06,6.87,5.24,,,+0.38,,+0.04,,,,F2V,,+0.028,-0.037,,+.058,-040,SB,,25,,0.7,1.9,AB,3,*
6735,,BD+75  647,164780,8962,,,,,,,,17,57,44.4,+,75,10,47,17,54,26.6,+,75,10,15,106.32,29.79,6.36,,,+0.98,,,,,,K0,,-0.013,+0.023,,-.019,-018,,,,,,,,,
6736,9    Sgr,CD-2413814,164794,186204,,I,,,,,,17,57,44.5,-,24,21,46,18,03,52.4,-,24,21,38,6.01,-01.20,5.97,,,0.00,,-0.89,,+0.02,,O4V((f)),,+0.002,+0.003,,,+009,SB,,140,,,,,,*
6737,,BD+33 3009,164824,66562,3434,I,,,10998,,,17,57,56.1,+,33,18,40,18,01,35.9,+,33,18,41,59.41,24.26,6.15,,,+1.55,,,,,,K5III,,+0.025,+0.023,,,-010,V,,,,6.0,14.2,AB,3,*
6738,96    Her,BD+20 3649,164852,85672,,,,,,,V820 Her,17,58,06.5,+,20,50,00,18,02,23.1,+,20,50,01,46.83,19.81,5.28,,,-0.09,,-0.61,,,,B3IV,,+0.005,-0.010,,+.004,-015,SB2O,,205,,,,,,*
6739,,CD-3512229,164870,209671,3435,,,W,,,,17,58,06.3,-,35,54,15,18,04,50.4,-,35,54,05,355.99,-07.00,6.00,,,+1.16,,,,,,K2III,,-0.016,-0.035,,,-016,,,,,5.2,12.5,,,
6740,,CP-64 3796,164871,254141,,,,,,,,17,58,00.3,-,64,33,20,18,07,48.3,-,64,33,00,329.59,-19.84,6.41,,,+1.26,,+1.41,,,,K2-3III,,-0.015,-0.053,,,-022,,,,,,,,,
6741,97    Her,BD+22 3260,164900,85676,,,,,,,,17,58,19.2,+,22,55,21,18,02,30.1,+,22,55,23,48.91,20.57,6.21,,,-0.10,,-0.64,,,,B3Vn,,-0.004,-0.008,,,-036,SB,,,,,,,,
6742,Gam1Sgr,CD-2914447,164975,186237,,,,,11029,,W Sgr,17,58,37.9,-,29,35,04,18,05,01.3,-,29,34,48,1.58,-03.98,4.69,,,+0.78,,+0.52,,+0.45,,F4-G1Ib,v,+0.013,0.000,,,-028,SBO,,25,,0.0,0.1,,4,*
6743,The Ara,CD-5011720,165024,245242,1471,,,,,,,17,58,50.7,-,50,05,52,18,06,37.9,-,50,05,30,343.33,-13.82,3.66,,,-0.08,,-0.85,,,,B2Ib,,-0.010,-0.014,,,+003,,,117,,,,,,*
6744,,BD+19 3508,165029,103334,,,,,,,,17,58,54.8,+,19,36,38,18,03,14.7,+,19,36,47,45.72,19.15,6.50,R,,+0.01,,-0.01,,,,A0V,,+0.024,-0.008,,,-032,,,171,,,,,,
