HR,Name,GLON,GLON_shifted,GLAT,Vmag
144,,120.67,59.33,-8.64,5.08
145,,117.11,62.89,-49.49,6.41
146,,121.08,58.92,-2.49,5.79
147,Lam2Phe,310.27,-130.27,-68.9,5.51
148,,307.83,-127.83,-62.16,6.06
149,,118.81,61.19,-35.5,6.5
150,,105.75,74.25,-77.33,6.45
151,,83.1,96.9,-84.48,6.06
152,,120.18,59.82,-18.31,5.13
153,17Zet Cas,120.78,59.22,-8.91,3.66
154,29Pi  And,119.47,60.53,-29.05,4.36
155,53    Psc,117.7,62.3,-47.49,5.89
156,,118.74,61.26,-38.74,6.47
157,,119.7,60.3,-27.38,5.48
158,,122.53,57.47,19.63,6.4
159,,68.68,111.32,-86.03,5.57
160,,305.46,-125.46,-51.93,6.42
161,,116.06,63.94,-59.55,6.39
162,,307.41,-127.41,-62.61,6.41
163,30Eps And,119.57,60.43,-33.47,4.37
164,,120.88,59.12,-13.47,5.43
165,31Del And,119.87,60.13,-31.94,3.27
166,54    Psc,119.18,60.82,-41.53,5.87
167,55    Psc,119.36,60.64,-41.35,5.36
168,18Alp Cas,121.42,58.58,-6.3,2.23
169,,304.22,-124.22,-43.96,6.85
170,,322.13,-142.13,-82.73,6.69
171,,309.65,-129.65,-72.18,6.01
172,,108.92,71.08,-79.09,6.49
173,,85.79,94.21,-85.86,6.14
174,,116.05,63.95,-67.08,5.91
175,32    And,120.76,59.24,-23.37,5.33
176,,305.56,-125.56,-57.61,5.89
177,,121.98,58.02,3.29,5.83
178,,120.09,59.91,-38.19,6.04
179,19Xi  Cas,121.41,58.59,-12.33,4.8
180,Mu  Phe,308.31,-128.31,-70.94,4.59
181,,121.77,58.23,-4.1,6.17
182,M 31  And,,180,,
183,Xi  Phe,305.65,-125.65,-60.57,5.7
184,20Pi  Cas,121.52,58.48,-15.82,4.94
185,Lam1Scl,311.54,-131.54,-78.52,6.06
186,,304.92,-124.92,-56.83,5.98
187,Rho Tuc,304.43,-124.43,-51.63,5.39
188,16Bet Cet,111.31,68.69,-80.68,2.04
189,,121.72,58.28,-14.99,5.67
190,,115.84,64.16,-74.78,6.02
191,Eta Phe,305.08,-125.08,-59.63,4.36
192,21    Cas,122.55,57.45,12.12,5.66
193,22Omi Cas,121.78,58.22,-14.57,4.54
194,17Phi1Cet,116.69,63.31,-73.39,4.76
195,Lam2Scl,310.14,-130.14,-78.6,5.9
196,,122.05,57.95,-7.64,5.42
197,,106.02,73.98,-84.66,5.24
198,,307.36,-127.36,-74.4,5.94
199,,304.31,-124.31,-54.61,6.07
200,,122.5,57.5,6.46,6.33
201,,119,61,-67.46,6.15
202,,305.07,-125.07,-63.39,6.15
203,18    Cet,117.05,62.95,-75.68,6.15
204,,122.19,57.81,-7.56,6.52
205,,121.95,58.05,-18,6.05
206,,115.55,64.45,-79.21,6.47
207,,122.33,57.67,-3.29,6.39
208,23    Cas,122.69,57.31,11.98,5.41
209,,305.68,-125.68,-69.54,5.8
210,,108.14,71.86,-85.24,5.5
211,57    Psc,121.19,58.81,-47.38,5.38
212,,122.68,57.32,9.8,5.87
213,58    Psc,121.22,58.78,-50.88,5.5
214,59    Psc,121.57,58.43,-43.28,6.13
215,34Zet And,121.74,58.26,-38.59,4.06
216,60    Psc,121.13,58.87,-56.12,5.99
217,61    Psc,121.82,58.18,-41.94,6.54
218,,117.34,62.66,-80.89,5.7
219,24Eta Cas,122.6,57.4,-5.05,3.44
220,,114.55,65.45,-84.54,5.57
221,62    Psc,121.55,58.45,-55.56,5.93
222,,121.49,58.51,-57.57,5.75
223,25Nu  Cas,122.51,57.49,-11.9,4.89
224,63Del Psc,121.73,58.27,-55.28,4.43
225,64    Psc,122.09,57.91,-45.92,5.07
226,35Nu  And,122.6,57.4,-21.79,4.53
227,,120.84,59.16,-76.42,5.59
228,,113.36,66.64,-86.97,5.9
229,,304.21,-124.21,-70.42,6.27
230,65    Psc,122.51,57.49,-35.16,7
231,65    Psc,122.51,57.49,-35.16,7.1
232,,116.39,63.61,-86.21,6.28
233,,122.85,57.15,1.38,5.39
234,,122.72,57.28,-17.87,6.15
235,19Phi2Cet,121.81,58.19,-73.51,5.19
236,Lam Hyi,303.18,-123.18,-42.2,5.07
237,,122.91,57.09,-1.07,6.07
238,,122.85,57.15,-11.36,6.39
239,,303.82,-123.82,-73.73,6.48
240,,123.03,56.97,20.84,5.62
241,,122.95,57.05,-11.3,6.21
242,Rho Phe,303.23,-123.23,-66.14,5.22
243,,122.87,57.13,-59.49,6.37
244,,123.13,56.87,-1.75,4.82
245,,302.66,-122.66,-73.42,6.9
