HR,GLAT,GLON,Vmag
939,-41.76,289.93,5.53
940,-33.35,162.53,6.27
941,-11.43,147.12,3.8
942,-41.3,170.83,6.28
943,-59.84,222.28,6.19
944,-24.78,156.01,5.72
945,-25.75,156.9,6.42
946,-26.48,157.54,6.02
947,-15.73,150.23,4.63
948,-38.41,168.4,5.98
949,-8.71,146.06,6.33
950,-13.3,148.87,6.15
951,-32.14,162.6,4.35
952,-37.4,167.61,6.12
953,-58.5,214.63,6.38
954,-25.95,157.68,5.79
955,-49.29,184.19,6.05
956,-8.25,145.96,5.9
957,-55.78,201.29,6.26
958,-41.99,173.4,5.56
959,-43.42,287.07,6.15
960,-55.59,261.22,6.12
961,17.16,130.66,5.45
962,-47.34,181.5,5.06
963,-59.04,224.75,3.87
964,-0.41,141.57,5.79
965,23.2,126.5,5.61
966,-12.92,149.24,6.07
967,6.93,137.24,6.36
968,-56.96,253.82,5.93
969,-5.66,144.89,5.03
970,-58.76,238.21,6.27
971,-22.85,156.23,5.52
972,-30.62,162.38,4.89
973,-10.41,147.87,6.16
974,-58.76,226.36,6.16
975,-20.9,154.91,6.31
976,-19.35,153.87,6.25
977,-50.9,273.3,5.74
978,-21.36,155.47,6.06
979,-14.39,150.73,6.45
980,-58,219.41,6.25
981,-36.05,295.34,5.57
982,-11.36,148.85,5.47
983,-49.63,187.86,6.17
984,-51.31,191.58,4.8
985,7.06,137.46,4.84
986,-15.34,151.51,5.96
987,-6.06,145.6,5.15
988,-51.33,192.19,6.14
989,-6.12,145.74,5.03
990,-58.26,228.37,6.65
991,-19.43,154.63,4.82
992,-46.1,182.52,5.38
993,-57.71,224.61,5.91
994,-56.46,213.26,4.88
995,-25.11,159.34,5.9
996,-43.08,178.22,4.83
997,-55.15,206.62,5.71
998,-54.94,258.81,5.85
999,-23.46,158.14,4.47
1000,-26.17,160.37,6.12
1001,-6.74,146.67,5.93
1002,-11.58,149.81,4.95
1003,-56,212.09,3.69
