HR,Color,GLON,GLAT
6931,ffffffff,352.81,-14.23
6470,ffffffff,352.79,0.56
5993,ffffffff,352.75,22.77
5997,ffffffff,352.7,22.54
7068,ffffffff,352.69,-17.95
6218,ffffffff,352.63,11.08
6951,ffffffff,352.62,-14.8
6397,ffffffff,352.59,2.87
7869,ffffffff,352.57,-37.21
5848,ffffffff,352.52,30.13
6683,ffffffff,352.48,-7.37
5273,ffffffff,352.46,66.45
7281,ffffffff,352.43,-22.76
7062,ffffffff,352.4,-17.92
6081,ffffffff,352.33,18.05
6273,ffffffff,352.31,8.16
6613,ffffffff,352.3,-5.02
6991,ffffffff,352.23,-16.17
7289,ffffffff,352.23,-23.13
6145,ffffffff,352.17,14.66
5535,ffffffff,352.08,48.82
6316,ffffffff,352.04,5.97
7749,ffffffff,352.03,-34.13
5685,ffffffff,352.02,39.23
6134,ffffffff,351.95,15.06
6804,ffffffff,351.89,-10.97
7745,ffffffff,351.87,-34.08
6426,ffffffff,351.83,1.44
6527,ffffffff,351.74,-2.21
5570,ffffffff,351.73,46.27
6539,ffffffff,351.69,-2.75
6786,ffffffff,351.68,-10.62
5915,ffffffff,351.65,25.66
5583,ffffffff,351.56,45.51
6165,ffffffff,351.54,12.81
8835,ffffffff,351.53,-65.76
5787,ffffffff,351.51,32.2
6454,ffffffff,351.51,0.28
6501,ffffffff,351.5,-1.25
6839,ffffffff,351.47,-12.3
8859,ffffffff,351.44,-66.43
6937,ffffffff,351.37,-15.01
7537,ffffffff,351.37,-29.27
6678,ffffffff,351.35,-7.76
6557,ffffffff,351.34,-3.37
5496,ffffffff,351.32,50.45
6084,ffffffff,351.31,17
6508,ffffffff,351.27,-1.84
6580,ffffffff,351.04,-4.72
5720,ffffffff,351.02,35.9
6042,ffffffff,351.01,19.03
8847,ffffffff,350.93,-66.03
6405,ffffffff,350.92,1.42
6631,ffffffff,350.89,-6.54
5934,ffffffff,350.88,24.09
8323,ffffffff,350.88,-49.1
8639,ffffffff,350.85,-59.06
6915,ffffffff,350.84,-14.7
6334,ffffffff,350.83,4.29
6546,ffffffff,350.77,-3.53
6003,ffffffff,350.73,20.37
5902,ffffffff,350.72,25.38
6615,ffffffff,350.61,-6.13
6288,ffffffff,350.54,6.07
6456,ffffffff,350.47,-0.51
6643,ffffffff,350.43,-7.1
6054,ffffffff,350.39,18.12
5988,ffffffff,350.35,20.85
7065,ffffffff,350.33,-18.76
8521,ffffffff,350.28,-55.16
8524,ffffffff,350.28,-55.23
7424,ffffffff,350.25,-26.89
6875,ffffffff,350.22,-14
6282,ffffffff,350.19,6.12
6682,ffffffff,350.18,-8.59
5270,ffffffff,350.17,65.8
6503,ffffffff,350.11,-2.3
5953,ffffffff,350.1,22.49
8425,ffffffff,350,-52.47
5998,ffffffff,349.99,19.97
6347,ffffffff,349.97,3.22
6450,ffffffff,349.95,-0.79
7097,ffffffff,349.78,-19.6
7092,ffffffff,349.73,-19.51
6211,ffffffff,349.63,9.01
7621,ffffffff,349.59,-31.19
5220,ffffffff,349.54,69.32
6649,ffffffff,349.48,-7.92
6818,ffffffff,349.47,-12.67
6749,ffffffff,349.45,-10.86
6750,ffffffff,349.45,-10.86
5764,ffffffff,349.32,31.11
6938,ffffffff,349.23,-15.91
7766,ffffffff,349.13,-34.67
5973,ffffffff,349.12,20.42
6934,ffffffff,349.06,-15.93
5750,ffffffff,349.05,31.66
5418,ffffffff,348.95,54.66
5838,ffffffff,348.94,27.58
8814,ffffffff,348.92,-64.11
5586,ffffffff,348.87,42.51
6311,ffffffff,348.86,3.87
6241,ffffffff,348.82,6.56
7223,ffffffff,348.8,-22.36
6105,ffffffff,348.72,13.65
6106,ffffffff,348.72,13.65
6897,ffffffff,348.67,-15.18
5814,ffffffff,348.63,28.35
6001,ffffffff,348.63,18.62
6192,ffffffff,348.57,8.64
6070,ffffffff,348.56,15.41
6344,ffffffff,348.53,2.17
6398,ffffffff,348.52,-0.11
5743,ffffffff,348.46,31.96
8152,ffffffff,348.4,-44.22
