HR,GLON,GLAT,Vmag
214,121.57,-43.28,6.13
215,121.74,-38.59,4.06
216,121.13,-56.12,5.99
217,121.82,-41.94,6.54
218,117.34,-80.89,5.7
219,122.6,-5.05,3.44
220,114.55,-84.54,5.57
221,121.55,-55.56,5.93
222,121.49,-57.57,5.75
223,122.51,-11.9,4.89
224,121.73,-55.28,4.43
225,122.09,-45.92,5.07
226,122.6,-21.79,4.53
227,120.84,-76.42,5.59
228,113.36,-86.97,5.9
229,-55.79,-70.42,6.27
230,122.51,-35.16,7
231,122.51,-35.16,7.1
232,116.39,-86.21,6.28
233,122.85,1.38,5.39
234,122.72,-17.87,6.15
235,121.81,-73.51,5.19
236,-56.82,-42.2,5.07
237,122.91,-1.07,6.07
238,122.85,-11.36,6.39
239,-56.18,-73.73,6.48
240,123.03,20.84,5.62
241,122.95,-11.3,6.21
242,-56.77,-66.14,5.22
243,122.87,-59.49,6.37
244,123.13,-1.75,4.82
245,-57.34,-73.42,6.9
246,123.24,-24.32,6.69
247,128.1,-86.87,5.46
248,123.83,-64.01,4.77
249,123.38,-25.45,6.06
250,123.29,-10.18,6.27
251,132.59,-87.62,6.46
252,-57.19,-47.62,6.22
253,123.39,-3.9,4.83
254,123.96,-43.68,5.74
255,125.17,-71.6,6.16
256,123.55,-14.19,6.27
257,-57.49,-54.25,5.7
258,123.97,-39.24,5.47
259,124.03,-38.31,6.2
260,123.57,-4.87,6.21
261,123.43,5.91,6.37
262,124.17,-35.65,6.09
263,126.06,-70.19,5.85
264,123.58,-2.15,2.47
265,123.6,-3.68,4.63
266,123.59,-2.5,5.55
267,127.04,-74.1,5.31
268,-113.77,-88.81,6.1
269,124.07,-24.36,3.87
270,-57.53,-47.6,5.45
271,124.65,-39.43,4.42
272,124.07,-17.02,6.12
273,123.64,3.49,5.97
274,124.62,-33.86,5.42
275,124.54,-28.9,5.98
276,125.34,-49.15,6.32
277,125.07,-41.44,6.37
278,123.68,8.12,6.39
279,129.49,-74.16,5.61
280,-91.95,-87.27,4.31
281,-58.6,-56.41,6.23
282,124.54,-18.13,6.84
283,124.54,-18.13,6.04
284,126.69,-56.33,6.11
285,123.24,23.4,4.25
286,123.13,26.16,6.46
287,124.68,-11.8,6.47
288,-66.36,-78.03,5.59
289,124.97,-15.45,6.45
290,125.24,-21.47,5.98
291,125.75,-31,5.5
292,124.4,-1.76,5.92
293,-84.85,-84.97,5.5
294,127.89,-54.87,4.28
295,-59.96,-60.07,6.11
296,130.52,-67.54,5.43
297,124.47,-1.25,5.84
298,124.88,-10.32,5.99
299,-62.98,-70.6,5.36
300,-103.81,-86.46,6.29
301,129.39,-61.35,6.04
302,125.08,-11.81,6.54
303,126.31,-33.13,6.19
304,-58.95,-51.63,6.21
305,125.67,-22.81,6.72
306,123.27,24.29,6.25
307,129.09,-57.05,6
308,127.84,-47.8,5.68
309,124.64,-0.06,6.54
310,127.34,-41.28,5.34
311,127.35,-41.28,5.56
312,123.74,17.17,6.29
313,129.66,-57.77,6.35
314,129.68,-57.77,7.25
315,134.63,-72.53,6.12
316,125.06,-5.87,6.43
317,134.92,-72.37,5.58
318,125.3,-9.3,6.38
319,128.64,-49.75,6.12
320,170.31,-85.44,6.14
321,125.32,-7.85,5.17
322,-64.49,-70.2,3.31
323,-76.68,-80.89,6.61
324,126.08,-18.83,5.03
325,172.43,-85.26,6.37
326,125.19,-4.53,5.79
327,127.02,-30.73,6.25
328,128.13,-41.96,5.55
329,136.22,-72.24,5.82
330,130.68,-56.96,5.52
331,-69.18,-75.25,5.21
332,-60.36,-55.25,5.37
333,123.91,16.84,5.64
334,137.15,-72.58,3.45
335,126.11,-15.52,4.25
336,124.68,5.97,5.29
337,127.1,-27.1,2.06
338,-62.17,-61.71,3.92
339,128.85,-43,5.55
340,126.67,-20.65,5.65
341,128.29,-37.22,5.8
342,125.1,1.42,5.55
343,125.76,-7.61,4.33
344,129.55,-46.96,6.06
345,125.07,2.23,5.57
346,137.48,-71.25,6.4
347,132.54,-60.07,5.95
348,127.24,-24.98,5.81
349,127.84,-31.26,5.16
350,-61.95,-59.26,6.41
351,129.18,-41.59,4.66
352,128.12,-32.58,4.51
353,134.84,-64.65,5.94
354,125.5,-1.06,6.41
355,126.82,-17.37,6.11
356,128.47,-32.58,6.19
357,124.08,17.09,6.26
358,-107.11,-84.13,6.52
359,-78.4,-78.37,5.92
360,129.37,-38.01,4.65
361,132.56,-54.88,5.24
362,132.57,-54.87,6.3
363,128.94,-34.08,6.43
364,130.84,-46.39,5.98
365,124.89,8.97,7.83
366,139.8,-70.04,5.13
367,133.14,-55.41,6.03
368,136.01,-63.25,5.7
369,127.24,-14.58,6.61
370,-69.9,-71,4.96
371,128.91,-29.47,6.02
372,127.7,-17.73,6.34
373,137.75,-64.64,5.41
374,129.36,-30.8,6.73
375,124.54,14.79,6.31
376,127.61,-15.21,6.25
377,-60.34,-48.1,4.86
378,135.63,-58.61,5.16
379,128.93,-25.17,6.46
380,-61.1,-50.53,6.24
381,124.79,13.48,6.38
382,126.71,-4.43,4.98
383,130.56,-35.19,4.76
384,126.1,1.97,6.34
385,138.45,-62.52,5.87
386,124.57,15.96,6.07
387,140.45,-65.12,6.23
388,147.57,-72.71,6.15
389,130.75,-33.68,5.23
390,128.58,-17,4.88
391,127.14,-4.47,6.45
392,138.75,-60.18,6.2
393,139.87,-62.29,6.49
394,166.13,-79.24,6.35
395,129.94,-24.72,5.58
396,130.47,-28.16,6.29
397,132.99,-41.78,5.97
398,125.75,8.3,6.49
399,126.15,5.47,4.74
400,-116.6,-82.02,5.84
401,146.42,-69.38,6.21
402,146.59,-69.54,3.6
403,127.19,-2.35,2.68
404,145.55,-68.33,5.91
405,158.54,-76.18,6.14
406,142.56,-64.44,6.15
407,132.98,-38.69,6.18
408,-80.34,-74.1,5.42
409,129.61,-18.96,5.96
410,131,-27.75,6.31
411,-75.89,-71.36,6.26
412,157.07,-75.16,4.9
413,134.19,-42.94,5.38
414,134.31,-42.85,5.5
415,131.25,-27.92,6.27
416,141.83,-61.98,6.41
417,129.56,-17,4.83
418,130.2,-21.26,6.46
419,139.88,-58.16,6.58
420,-63.02,-52.37,5.93
421,155.16,-73.67,5.66
422,130.39,-22.01,6.6
423,-109.82,-80.59,5.79
424,123.28,26.46,2.02
425,152.44,-71.66,6.13
426,138.54,-53.79,6.2
427,126.3,7.65,5.81
428,126.92,3.53,6.14
429,-79.48,-72.17,3.41
430,129.75,-15.35,5.27
431,-105.23,-79.59,6.58
432,135.56,-43.57,6.02
433,-177.35,-79.72,5.12
434,140.07,-55.43,4.84
435,-75.48,-68.99,6.31
436,-150.9,-81.25,5.93
437,137.01,-46.43,3.62
438,132.33,-27.33,6.39
439,128.44,-4.09,5.7
440,-73.73,-66.75,3.95
441,-125.04,-80.63,5.82
