hr,lat,lon,mag,fingure_print
155,-47.49,62.3,5.89,1345.4874
156,-38.74,61.26,6.47,1361.263
157,-27.38,60.3,5.48,1561.1206
158,19.63,57.47,6.4,1276.0563
159,-86.03,111.32,5.57,1134.5872
160,-51.93,-125.46,6.42,1010.85895
161,-59.55,63.94,6.39,1984.8494
162,-62.61,-127.41,6.41,1029.4719
163,-33.47,60.43,4.37,1042.7595
164,-13.47,59.12,5.43,1005.7766
165,-31.94,60.13,3.27,1432.0004
166,-41.53,60.82,5.87,1044.537
167,-41.35,60.64,5.36,1045.5779
168,-6.3,58.58,2.23,982.7519
169,-43.96,-124.22,6.85,1272.3833
170,-82.73,-142.13,6.69,2129.6013
171,-72.18,-129.65,6.01,1202.6047
172,-79.09,71.08,6.49,1126.3224
173,-85.86,94.21,6.14,945.3706
174,-67.08,63.95,5.91,1551.9446
175,-23.37,59.24,5.33,1619.3076
176,-57.61,-125.56,5.89,1277.8218
177,3.29,58.02,5.83,984.8485
178,-38.19,59.91,6.04,1303.6311
179,-12.33,58.59,4.8,913.4769
180,-70.94,-128.31,4.59,1044.4401
181,-4.1,58.23,6.17,833.611
183,-60.57,-125.65,5.7,1194.667
184,-15.82,58.48,4.94,1014.7061
185,-78.52,-131.54,6.06,1636.9468
186,-56.83,-124.92,5.98,1200.9484
187,-51.63,-124.43,5.39,1187.4457
188,-80.68,68.69,2.04,1297.3922
189,-14.99,58.28,5.67,847.3821
190,-74.78,64.16,6.02,1062.842
191,-59.63,-125.08,4.36,1250.7891
192,12.12,57.45,5.66,1108.2612
193,-14.57,58.22,4.54,792.6207
194,-73.39,63.31,4.76,1251.4617
195,-78.6,-130.14,5.9,1662.9495
196,-7.64,57.95,5.42,765.99
197,-84.66,73.98,5.24,819.70966
198,-74.4,-127.36,5.94,1312.4242
199,-54.61,-124.31,6.07,880.84015
200,6.46,57.5,6.33,1128.3263
201,-67.46,61.0,6.15,1727.4949
202,-63.39,-125.07,6.15,1205.325
203,-75.68,62.95,6.15,1108.4915
204,-7.56,57.81,6.52,816.9781
205,-18.0,58.05,6.05,1043.5828
206,-79.21,64.45,6.47,1149.9099
207,-3.29,57.67,6.39,722.77484
208,11.98,57.31,5.41,1130.2032
209,-69.54,-125.68,5.8,1085.8594
210,-85.24,71.86,5.5,694.8785
211,-47.38,58.81,5.38,1574.524
212,9.8,57.32,5.87,1204.4945
213,-50.88,58.78,5.5,1889.8433
214,-43.28,58.43,6.13,1202.2308
215,-38.59,58.26,4.06,1087.5676
216,-56.12,58.87,5.99,1063.9753
217,-41.94,58.18,6.54,1124.8989
218,-80.89,62.66,5.7,1410.9812
219,-5.05,57.4,3.44,783.48035
220,-84.54,65.45,5.57,928.099
221,-55.56,58.45,5.93,1064.7494
222,-57.57,58.51,5.75,1213.3743
223,-11.9,57.49,4.89,727.2411
224,-55.28,58.27,4.43,1114.6741
225,-45.92,57.91,5.07,1573.7373
226,-21.79,57.4,4.53,1480.4937
227,-76.42,59.16,5.59,1329.6183
228,-86.97,66.64,5.9,719.1938
229,-70.42,-124.21,6.27,1105.5072
230,-35.16,57.49,7.0,1068.0951
231,-35.16,57.49,7.1,1068.095
232,-86.21,63.61,6.28,690.67316
233,1.38,57.15,5.39,1252.0189
234,-17.87,57.28,6.15,904.8547
235,-73.51,58.19,5.19,1055.5637
236,-42.2,-123.18,5.07,1445.647
237,-1.07,57.09,6.07,753.9466
238,-11.36,57.15,6.39,618.5639
239,-73.73,-123.82,6.48,1151.0851
240,20.84,56.97,5.62,1343.0979
241,-11.3,57.05,6.21,624.39185
242,-66.14,-123.23,5.22,1840.4235
243,-59.49,57.13,6.37,1831.1443
244,-1.75,56.87,4.82,544.3532
245,-73.42,-122.66,6.9,1172.8344
246,-24.32,56.76,6.69,1072.1417
247,-86.87,51.9,5.46,797.63965
248,-64.01,56.17,4.77,2333.5337
249,-25.45,56.62,6.06,1384.3147
250,-10.18,56.71,6.27,889.2283
251,-87.62,47.41,6.46,1039.9556
252,-47.62,-122.81,6.22,1259.3854
253,-3.9,56.61,4.83,591.49756
254,-43.68,56.04,5.74,1397.7917
255,-71.6,54.83,6.16,1342.023
256,-14.19,56.45,6.27,1180.5092
257,-54.25,-122.51,5.7,1132.2653
258,-39.24,56.03,5.47,984.349
259,-38.31,55.97,6.2,1081.3076
260,-4.87,56.43,6.21,733.75415
261,5.91,56.57,6.37,1080.3232
262,-35.65,55.83,6.09,1161.4406
263,-70.19,53.94,5.85,1699.5151
264,-2.15,56.42,2.47,488.79913
265,-3.68,56.4,4.63,614.9807
266,-2.5,56.41,5.55,547.16064
267,-74.1,52.96,5.31,1144.2362
268,-88.81,-66.23,6.1,1656.1003
269,-24.36,55.93,3.87,1111.7692
270,-47.6,-122.47,5.45,1271.5242
271,-39.43,55.35,4.42,999.3158
272,-17.02,55.93,6.12,886.8832
273,3.49,56.36,5.97,1187.6415
274,-33.86,55.38,5.42,1197.729
275,-28.9,55.46,5.98,1708.6316
276,-49.15,54.66,6.32,1598.0803
277,-41.44,54.93,6.37,1130.019
278,8.12,56.32,6.39,1081.0583
279,-74.16,50.51,5.61,1131.43
280,-87.27,-88.05,4.31,1457.3479
281,-56.41,-121.4,6.23,1196.2761
282,-18.13,55.46,6.84,763.6411
283,-18.13,55.46,6.04,763.6411
284,-56.33,53.31,6.11,1081.8171
285,23.4,56.76,4.25,1175.6924
286,26.16,56.87,6.46,948.61316
287,-11.8,55.32,6.47,846.8384
288,-78.03,-113.64,5.59,1755.2388
289,-15.45,55.03,6.45,1075.5161
290,-21.47,54.76,5.98,1254.124
291,-31.0,54.25,5.5,1114.1985
292,-1.76,55.6,5.92,566.21375
293,-84.97,-95.15,5.5,1652.4243
294,-54.87,52.11,4.28,1320.9302
295,-60.07,-120.04,6.11,1375.5812
296,-67.54,49.48,5.43,2132.1477
297,-1.25,55.53,5.84,607.0464
298,-10.32,55.12,5.99,867.48895
299,-70.6,-117.02,5.36,1312.5117
300,-86.46,-76.19,6.29,1377.3433
301,-61.35,50.61,6.04,1830.9534
302,-11.81,54.92,6.54,964.05115
303,-33.13,53.69,6.19,1062.6483
304,-51.63,-121.05,6.21,1329.8999
305,-22.81,54.33,6.72,1242.6477
306,24.29,56.73,6.25,956.81757
307,-57.05,50.91,6.0,691.9668
308,-47.8,52.16,5.68,1381.7017
309,-0.06,55.36,6.54,866.29926
310,-41.28,52.66,5.34,676.67596
311,-41.28,52.65,5.56,675.70197
312,17.17,56.26,6.29,811.21
313,-57.77,50.34,6.35,742.14984
314,-57.77,50.32,7.25,742.24023
315,-72.53,45.37,6.12,584.1197
316,-5.87,54.94,6.43,1021.95715
317,-72.37,45.08,5.58,561.7998
318,-9.3,54.7,6.38,999.4236
319,-49.75,51.36,6.12,1738.8684
320,-85.44,9.69,6.14,1564.6783
321,-7.85,54.68,5.17,1059.2715
322,-70.2,-115.51,3.31,1447.5597
323,-80.89,-103.32,6.61,2236.8594
324,-18.83,53.92,5.03,962.256
325,-85.26,7.57,6.37,1674.0273
326,-4.53,54.81,5.79,913.64923
327,-30.73,52.98,6.25,906.5634
328,-41.96,51.87,5.55,686.4267
329,-72.24,43.78,5.82,552.5742
330,-56.96,49.32,5.52,797.54926
331,-75.25,-110.82,5.21,1915.5149
332,-55.25,-119.64,5.37,1427.8752
